id,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
2818,3159,Oostelijk Havengebied - Indische Buurt,Private room,59,3,248,2018-11-28,2.1,44
3209,3806,Westerpark,Entire home/apt,160,4,42,2018-08-29,1.03,47
20168,59484,Centrum-Oost,Entire home/apt,80,1,233,2018-11-30,2.18,198
25428,56142,Centrum-West,Entire home/apt,125,14,1,2018-01-21,0.09,141
27886,97647,Centrum-West,Private room,150,2,171,2018-11-25,2.03,199
28658,123414,Bos en Lommer,Private room,65,3,434,2018-11-19,4.16,295
28871,124245,Centrum-West,Private room,75,2,215,2018-12-03,2.13,137
29051,124245,Centrum-West,Private room,55,2,383,2018-12-05,4.07,188
31080,133488,Zuid,Entire home/apt,219,3,32,2017-10-16,0.36,336
41125,178515,Centrum-West,Entire home/apt,180,3,76,2018-10-07,0.78,11
42970,187580,Centrum-West,Private room,159,3,426,2018-11-24,4.24,89
43980,65041,Zuid,Entire home/apt,100,28,61,2018-02-18,0.62,10
44129,187728,Centrum-West,Entire home/apt,250,2,176,2018-10-01,1.74,16
44391,194779,Centrum-Oost,Entire home/apt,200,3,31,2018-11-18,0.31,0
45246,200188,Westerpark,Entire home/apt,155,3,79,2018-10-21,0.79,253
46386,207342,De Pijp - Rivierenbuurt,Entire home/apt,150,3,3,2018-01-03,0.03,0
47061,211696,De Baarsjes - Oud-West,Entire home/apt,140,2,167,2018-11-03,1.67,0
48076,219080,Centrum-West,Entire home/apt,350,5,159,2018-12-04,1.82,276
49790,227530,De Baarsjes - Oud-West,Entire home/apt,225,3,98,2018-11-18,1.06,296
50515,231864,Bos en Lommer,Entire home/apt,120,3,12,2018-08-24,0.21,79
50518,231806,Westerpark,Entire home/apt,125,1,91,2018-11-18,1.22,0
50523,231946,Centrum-West,Private room,115,2,213,2018-11-21,2.21,206
50570,232321,Bos en Lommer,Entire home/apt,90,4,152,2018-08-25,1.62,19
52490,185836,Oostelijk Havengebied - Indische Buurt,Private room,72,3,81,2018-11-25,0.82,11
53067,246493,De Pijp - Rivierenbuurt,Private room,87,1,333,2018-12-02,3.4,2
53671,247822,Westerpark,Private room,75,3,261,2018-12-02,2.8,289
53692,246493,De Pijp - Rivierenbuurt,Private room,60,3,219,2018-06-22,2.4,47
55256,260785,Centrum-Oost,Private room,86,1,120,2018-11-25,1.26,129
55703,263214,Bos en Lommer,Entire home/apt,250,3,3,2016-10-19,0.07,0
55709,263233,Centrum-Oost,Entire home/apt,159,5,53,2018-10-15,0.54,32
55807,263844,De Baarsjes - Oud-West,Private room,60,2,150,2018-06-08,1.53,122
55868,264178,Zuid,Entire home/apt,149,4,88,2018-08-13,0.91,107
56879,270282,Centrum-West,Entire home/apt,112,28,1,2012-07-27,0.01,277
57408,273329,Oostelijk Havengebied - Indische Buurt,Entire home/apt,100,4,420,2017-09-30,4.29,5
57978,276959,De Baarsjes - Oud-West,Entire home/apt,125,3,145,2018-06-18,1.48,315
58211,278253,Centrum-West,Private room,225,3,82,2018-10-29,1.05,212
62015,301340,Oud-Oost,Entire home/apt,109,2,21,2018-10-21,0.22,30
62801,306117,Bos en Lommer,Entire home/apt,750,30,0,,,364
64736,306192,De Baarsjes - Oud-West,Entire home/apt,145,4,92,2018-07-30,1.43,0
64769,312863,Centrum-Oost,Entire home/apt,450,4,26,2018-08-04,0.28,72
65230,213960,Centrum-West,Entire home/apt,179,3,83,2018-01-19,0.91,358
67841,335166,De Pijp - Rivierenbuurt,Entire home/apt,100,3,9,2018-07-25,0.14,29
68290,336950,Centrum-West,Private room,109,1,574,2018-11-29,6.1,158
68873,336950,Centrum-West,Private room,109,1,527,2018-11-25,5.56,163
69042,344312,Centrum-West,Private room,116,3,131,2018-12-03,1.41,7
73208,381900,Zuid,Entire home/apt,220,5,58,2018-07-30,0.62,3
73917,387205,Centrum-West,Entire home/apt,175,3,82,2018-08-05,1.22,320
74367,391075,Centrum-West,Entire home/apt,260,7,10,2011-11-09,0.11,304
75382,399879,Oud-Oost,Private room,105,3,178,2018-11-30,1.93,84
75444,399879,Oud-Oost,Private room,70,3,246,2018-11-26,2.69,47
76668,409579,Westerpark,Private room,135,2,39,2018-12-02,1.31,237
80634,436145,Centrum-West,Private room,180,2,115,2018-12-03,1.92,28
80635,436145,Centrum-West,Private room,115,2,158,2018-12-03,1.68,29
82482,186729,Centrum-West,Entire home/apt,95,1,695,2018-12-02,7.64,191
82748,450453,Centrum-West,Entire home/apt,249,3,116,2018-07-26,1.24,280
83498,124245,Centrum-West,Private room,45,2,403,2018-12-04,6.96,161
84057,459028,De Baarsjes - Oud-West,Private room,100,3,68,2018-11-18,0.75,344
